L3.#,H.#
L3.1.1,H.1.1
L3.1.2,None
L3.1.3,H.1.1
L3.1.4,None
L3.1.5,None
L3.1.6,None
L3.2.1,H.2.1
L3.2.2,H.2.1
L3.2.3,H.2.1
L3.2.4,None
L3.2.5,H.2.1
L3.2.6,H.2.1
L3.2.7,H.2.1
L3.3.1,None
L3.3.2,H.3.2
L3.3.2,H.3.5
L3.3.3,None
L3.3.4,None
L3.3.5,H.3.1
L3.3.6,H.3.1
L3.3.7,H.3.1
L3.3.8,None
L3.3.9,None
L3.3.10,None
L3.3.11,None
L3.3.12,None
L3.3.13,None
L3.3.14,H.3.4
L3.3.15,H.3.4
L3.3.16,H.3.4
L3.3.17,H.3.4
L3.4.1,H.4.1
L3.4.1,H.4.2
L3.4.2,H.4.1
L3.4.2,H.4.2
L3.4.3,H.4.5
L3.4.4,None
L3.4.5,H.4.3
L3.4.6,H.4.3
L3.4.7,None
L3.4.8,None
L3.4.9,H.4.8
L3.4.10,None
L3.4.11,H.4.7
L3.4.12,H.4.4
L3.5.1,H.5.1
L3.5.2,None
L3.5.3,None
L3.5.4,H.5.1
L3.5.5,H.5.1
L3.5.6,None
L3.5.7,None
L3.5.8,H.5.1
L3.5.9,H.5.1
L3.6.1,H.6.1
L3.6.2,H.6.1
L3.6.3,H.6.1
L3.6.4,H.6.1
L3.6.5,H.6.1
L3.6.6,H.6.1
L3.6.7,H.6.1
L3.6.8,None
L3.7.1,H.7.3
L3.7.2,H.7.1
L3.7.3,H.7.1
L3.7.4,None
L3.7.5,None
L3.7.6,None
L3.7.7,H.7.1
L3.7.8,None
L3.7.9,H.7.1
L3.7.10,H.7.1
L3.7.11,H.7.1
L3.7.12,H.7.1
L3.7.13,H.7.1
L3.7.14,H.7.3
L3.7.15,H.7.1
L3.7.16,H.7.1
L3.7.17,H.7.1
L3.7.18,H.7.1
L3.7.19,H.7.1
L3.7.20,H.7.1
L3.7.21,H.7.1
L3.7.22,H.7.1
L3.7.23,H.7.1
L3.7.24,H.7.1
L3.7.25,H.7.1
L3.7.26,H.7.1
L3.7.27,H.7.1
L3.7.28,H.7.1
L3.7.29,H.7.1
L3.7.30,H.7.1
L3.7.31,H.7.1
L3.7.32,H.7.1
L3.7.33,H.7.2
L3.8.1,H.8.1
L3.8.2,None
L3.8.3,None
L3.8.4,None
L3.8.5,None
L3.8.6,None
L3.9.1,H.9.3
L3.9.2,H.9.1
L3.9.3,None
L3.9.4,H.9.1
L3.9.5,H.9.3
L3.9.6,H.9.1
L3.9.7,None
L3.9.8,H.9.1
L3.9.9,H.9.3
L3.9.10,H.9.2
L3.9.11,None
L3.9.12,None
L3.9.13,H.9.1
L3.9.14,H.9.1
L3.9.15,H.9.3
L3.10.1,H.10.2
L3.10.2,H.10.2
L3.10.3,H.10.2
L3.10.4,None
L3.10.5,None
L3.10.6,None
L3.10.7,None
L3.10.8,None
L3.10.9,H.10.2
L3.10.10,H.10.2
L3.10.11,None
L3.10.12,H.10.3
