H.#,L5.#
H.1.1,L.5.1.1
H.1.1,L.5.1.2
H.1.1,L.5.1.3
H.1.2,None
H.2.1,L5.2.1
H.2.1,L5.2.2
H.2.2,None
H.3.1,L5.1.1
H.3.1,L5.1.2
H.3.1,L5.1.3
H.3.1,L5.1.4
H.3.2,None
H.3.3,None
H.3.4,None
H.3.5,L5.1.1
H.4.1,None
H.4.2,L5.4.5
H.4.3,L5.4.4
H.4.3,L5.4.7
H.4.4,None
H.4.5,L5.4.2
H.4.6,None
H.4.7,L5.4.1
H.4.8,None
H.5.1,L5.5.1
H.5.1,L5.5.3
H.5.2,L5.5.2
H.6.1,L5.6.1
H.6.1,L5.6.2
H.6.1,L5.6.3
H.7.1,None
H.7.2,None
H.7.3,None
H.8.1,L5.8.1
H.9.1,L5.9.1
H.9.1,L5.9.3
H.9.1,L5.9.4
H.9.2,None
H.9.3,L5.9.2
H.10.1,None
H.10.2,L5.10.1
H.10.2,L5.10.4
H.10.3,L5.10.2
